Employee_Index,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,MonthlyIncome,YearsAtCompany,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,DistanceFromHome,BusinessTravel,Education,EducationField,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,PercentSalaryHike,StockOptionLevel,TrainingTimesLastYear,YearsSinceLastPromotion,Actual_Attrition,Predicted_Attrition,Attrition_Probability,Risk_Level
1451,32,Male,Single,Sales,Healthcare Representative,3,24680,3,2,4.0,0.0,23,Travel_Rarely,1,Life Sciences,3.0,4.0,1.0,3,3,11,0,2,1,1,1,0.99,Critical
3961,44,Male,Divorced,Sales,Research Scientist,1,28440,5,3,6.0,1.0,10,Travel_Frequently,4,Life Sciences,2.0,3.0,2.0,4,3,12,0,2,2,1,1,0.99,Critical
2784,20,Female,Single,Sales,Healthcare Representative,2,99240,1,0,1.0,1.0,4,Travel_Frequently,4,Life Sciences,4.0,4.0,3.0,3,4,22,0,3,1,1,1,0.99,Critical
2013,50,Male,Single,Research & Development,Research Scientist,2,159920,0,0,5.0,3.0,1,Travel_Frequently,4,Medical,3.0,4.0,3.0,3,3,14,0,3,0,1,1,0.98,Critical
2048,29,Male,Married,Research & Development,Sales Executive,1,22440,11,10,11.0,1.0,6,Travel_Rarely,3,Life Sciences,1.0,4.0,1.0,1,3,12,3,5,3,1,1,0.98,Critical
2104,19,Male,Single,Sales,Healthcare Representative,3,98240,1,0,1.0,1.0,2,Non-Travel,2,Other,2.0,1.0,4.0,3,3,18,0,2,0,1,1,0.98,Critical
3462,28,Female,Single,Research & Development,Laboratory Technician,4,52380,10,9,10.0,1.0,19,Non-Travel,4,Life Sciences,1.0,2.0,2.0,2,3,17,1,4,1,1,1,0.98,Critical
2673,50,Male,Divorced,Research & Development,Research Scientist,1,173280,3,0,20.0,4.0,17,Travel_Rarely,3,Medical,1.0,4.0,3.0,3,3,15,2,1,2,1,1,0.98,Critical
2656,56,Male,Married,Sales,Sales Executive,2,40780,10,8,14.0,8.0,10,Travel_Rarely,4,Other,3.0,4.0,1.0,3,4,24,1,3,9,1,1,0.98,Critical
2587,32,Male,Single,Research & Development,Laboratory Technician,2,191900,4,3,8.0,3.0,9,Travel_Frequently,3,Life Sciences,3.0,1.0,3.0,3,3,17,1,2,0,1,1,0.98,Critical
543,50,Male,Single,Research & Development,Research Scientist,2,159920,0,0,5.0,3.0,1,Travel_Frequently,4,Medical,3.0,4.0,3.0,3,3,14,0,3,0,1,1,0.98,Critical
3483,50,Male,Single,Research & Development,Research Scientist,2,159920,0,0,5.0,3.0,1,Travel_Frequently,4,Medical,3.0,4.0,3.0,3,3,14,0,3,0,1,1,0.98,Critical
3518,29,Male,Married,Research & Development,Sales Executive,1,22440,11,10,11.0,1.0,6,Travel_Rarely,3,Life Sciences,1.0,4.0,1.0,1,3,12,3,5,3,1,1,0.98,Critical
2581,28,Male,Single,Research & Development,Research Director,1,187890,2,2,6.0,3.0,25,Travel_Rarely,3,Technical Degree,3.0,4.0,3.0,3,3,16,1,4,2,1,1,0.98,Critical
224,31,Female,Divorced,Research & Development,Sales Representative,1,189470,3,2,9.0,2.0,9,Travel_Rarely,1,Medical,1.0,2.0,1.0,2,3,12,2,2,1,1,1,0.98,Critical
522,28,Female,Single,Research & Development,Laboratory Technician,4,52380,10,9,10.0,1.0,19,Non-Travel,4,Life Sciences,1.0,2.0,2.0,2,3,17,1,4,1,1,1,0.98,Critical
1992,28,Female,Single,Research & Development,Laboratory Technician,4,52380,10,9,10.0,1.0,19,Non-Travel,4,Life Sciences,1.0,2.0,2.0,2,3,17,1,4,1,1,1,0.98,Critical
2054,28,Male,Married,Research & Development,Sales Executive,2,41970,1,0,1.0,1.0,15,Travel_Rarely,4,Life Sciences,4.0,3.0,2.0,1,3,13,0,3,0,1,1,0.98,Critical
739,27,Female,Single,Research & Development,Research Scientist,1,137700,8,7,8.0,1.0,2,Travel_Rarely,5,Life Sciences,3.0,4.0,3.0,4,3,18,1,3,7,1,1,0.98,Critical
2485,22,Male,Married,Research & Development,Research Scientist,4,49680,1,0,1.0,1.0,1,Travel_Rarely,3,Other,1.0,3.0,3.0,3,3,14,0,3,0,1,1,0.98,Critical
255,20,Male,Single,Research & Development,Sales Representative,5,61620,1,1,1.0,1.0,1,Travel_Rarely,3,Life Sciences,3.0,4.0,3.0,2,3,12,3,2,1,1,1,0.98,Critical
3195,20,Male,Single,Research & Development,Sales Representative,5,61620,1,1,1.0,1.0,1,Travel_Rarely,3,Life Sciences,3.0,4.0,3.0,2,3,12,3,2,1,1,1,0.98,Critical
3164,31,Female,Divorced,Research & Development,Sales Representative,1,189470,3,2,9.0,2.0,9,Travel_Rarely,1,Medical,1.0,2.0,1.0,2,3,12,2,2,1,1,1,0.98,Critical
1015,22,Male,Married,Research & Development,Research Scientist,4,49680,1,0,1.0,1.0,1,Travel_Rarely,3,Other,1.0,3.0,3.0,3,3,14,0,3,0,1,1,0.98,Critical
1186,56,Male,Married,Sales,Sales Executive,2,40780,10,8,14.0,8.0,10,Travel_Rarely,4,Other,3.0,4.0,1.0,3,4,24,1,3,9,1,1,0.98,Critical
1117,32,Male,Single,Research & Development,Laboratory Technician,2,191900,4,3,8.0,3.0,9,Travel_Frequently,3,Life Sciences,3.0,1.0,3.0,3,3,17,1,2,0,1,1,0.98,Critical
1111,28,Male,Single,Research & Development,Research Director,1,187890,2,2,6.0,3.0,25,Travel_Rarely,3,Technical Degree,3.0,4.0,3.0,3,3,16,1,4,2,1,1,0.98,Critical
2209,27,Female,Single,Research & Development,Research Scientist,1,137700,8,7,8.0,1.0,2,Travel_Rarely,5,Life Sciences,3.0,4.0,3.0,4,3,18,1,3,7,1,1,0.98,Critical
2458,30,Female,Divorced,Research & Development,Human Resources,1,22070,4,2,6.0,6.0,10,Travel_Frequently,3,Life Sciences,4.0,3.0,2.0,3,3,14,0,4,1,1,1,0.98,Critical
578,29,Male,Married,Research & Development,Sales Executive,1,22440,11,10,11.0,1.0,6,Travel_Rarely,3,Life Sciences,1.0,4.0,1.0,1,3,12,3,5,3,1,1,0.98,Critical
634,19,Male,Single,Sales,Healthcare Representative,3,98240,1,0,1.0,1.0,2,Non-Travel,2,Other,2.0,1.0,4.0,3,3,18,0,2,0,1,1,0.98,Critical
3574,19,Male,Single,Sales,Healthcare Representative,3,98240,1,0,1.0,1.0,2,Non-Travel,2,Other,2.0,1.0,4.0,3,3,18,0,2,0,1,1,0.98,Critical
3524,28,Male,Married,Research & Development,Sales Executive,2,41970,1,0,1.0,1.0,15,Travel_Rarely,4,Life Sciences,4.0,3.0,2.0,1,3,13,0,3,0,1,1,0.98,Critical
3679,27,Female,Single,Research & Development,Research Scientist,1,137700,8,7,8.0,1.0,2,Travel_Rarely,5,Life Sciences,3.0,4.0,3.0,4,3,18,1,3,7,1,1,0.98,Critical
584,28,Male,Married,Research & Development,Sales Executive,2,41970,1,0,1.0,1.0,15,Travel_Rarely,4,Life Sciences,4.0,3.0,2.0,1,3,13,0,3,0,1,1,0.98,Critical
4143,50,Male,Divorced,Research & Development,Research Scientist,1,173280,3,0,20.0,4.0,17,Travel_Rarely,3,Medical,1.0,4.0,3.0,3,3,15,2,1,2,1,1,0.98,Critical
4263,34,Female,Single,Human Resources,Sales Executive,5,55620,9,6,9.0,1.0,4,Travel_Frequently,4,Life Sciences,3.0,1.0,3.0,3,3,15,0,3,0,1,1,0.98,Critical
473,20,Female,Single,Research & Development,Research Scientist,2,63970,1,0,1.0,1.0,2,Travel_Rarely,2,Life Sciences,1.0,4.0,3.0,3,3,17,1,3,0,1,1,0.98,Critical
4051,28,Male,Single,Research & Development,Research Director,1,187890,2,2,6.0,3.0,25,Travel_Rarely,3,Technical Degree,3.0,4.0,3.0,3,3,16,1,4,2,1,1,0.98,Critical
1323,34,Female,Single,Human Resources,Sales Executive,5,55620,9,6,9.0,1.0,4,Travel_Frequently,4,Life Sciences,3.0,1.0,3.0,3,3,15,0,3,0,1,1,0.98,Critical
1634,19,Male,Single,Research & Development,Sales Executive,1,76440,1,0,1.0,1.0,4,Travel_Rarely,3,Medical,4.0,1.0,4.0,3,3,15,2,2,0,1,1,0.98,Critical
4057,32,Male,Single,Research & Development,Laboratory Technician,2,191900,4,3,8.0,3.0,9,Travel_Frequently,3,Life Sciences,3.0,1.0,3.0,3,3,17,1,2,0,1,1,0.98,Critical
2793,34,Female,Single,Human Resources,Sales Executive,5,55620,9,6,9.0,1.0,4,Travel_Frequently,4,Life Sciences,3.0,1.0,3.0,3,3,15,0,3,0,1,1,0.98,Critical
1801,29,Female,Married,Sales,Research Scientist,4,106500,1,0,1.0,1.0,2,Travel_Rarely,4,Marketing,1.0,2.0,3.0,4,3,13,2,2,0,1,1,0.98,Critical
1943,20,Female,Single,Research & Development,Research Scientist,2,63970,1,0,1.0,1.0,2,Travel_Rarely,2,Life Sciences,1.0,4.0,3.0,3,3,17,1,3,0,1,1,0.98,Critical
3928,30,Female,Divorced,Research & Development,Human Resources,1,22070,4,2,6.0,6.0,10,Travel_Frequently,3,Life Sciences,4.0,3.0,2.0,3,3,14,0,4,1,1,1,0.98,Critical
3955,22,Male,Married,Research & Development,Research Scientist,4,49680,1,0,1.0,1.0,1,Travel_Rarely,3,Other,1.0,3.0,3.0,3,3,14,0,3,0,1,1,0.98,Critical
331,29,Female,Married,Sales,Research Scientist,4,106500,1,0,1.0,1.0,2,Travel_Rarely,4,Marketing,1.0,2.0,3.0,4,3,13,2,2,0,1,1,0.98,Critical
3413,20,Female,Single,Research & Development,Research Scientist,2,63970,1,0,1.0,1.0,2,Travel_Rarely,2,Life Sciences,1.0,4.0,3.0,3,3,17,1,3,0,1,1,0.98,Critical
2733,28,Male,Single,Research & Development,Sales Executive,1,25610,2,2,2.0,1.0,10,Travel_Rarely,1,Medical,3.0,3.0,2.0,3,4,22,1,3,2,1,1,0.98,Critical
164,19,Male,Single,Research & Development,Sales Executive,1,76440,1,0,1.0,1.0,4,Travel_Rarely,3,Medical,4.0,1.0,4.0,3,3,15,2,2,0,1,1,0.98,Critical
1203,50,Male,Divorced,Research & Development,Research Scientist,1,173280,3,0,20.0,4.0,17,Travel_Rarely,3,Medical,1.0,4.0,3.0,3,3,15,2,1,2,1,1,0.98,Critical
988,30,Female,Divorced,Research & Development,Human Resources,1,22070,4,2,6.0,6.0,10,Travel_Frequently,3,Life Sciences,4.0,3.0,2.0,3,3,14,0,4,1,1,1,0.98,Critical
65,28,Male,Married,Research & Development,Sales Executive,1,56730,3,2,5.0,5.0,9,Travel_Rarely,4,Medical,4.0,1.0,2.0,2,3,14,1,4,2,1,1,0.98,Critical
4126,56,Male,Married,Sales,Sales Executive,2,40780,10,8,14.0,8.0,10,Travel_Rarely,4,Other,3.0,4.0,1.0,3,4,24,1,3,9,1,1,0.98,Critical
1725,20,Male,Single,Research & Development,Sales Representative,5,61620,1,1,1.0,1.0,1,Travel_Rarely,3,Life Sciences,3.0,4.0,3.0,2,3,12,3,2,1,1,1,0.98,Critical
1694,31,Female,Divorced,Research & Development,Sales Representative,1,189470,3,2,9.0,2.0,9,Travel_Rarely,1,Medical,1.0,2.0,1.0,2,3,12,2,2,1,1,1,0.98,Critical
3271,29,Female,Married,Sales,Research Scientist,4,106500,1,0,1.0,1.0,2,Travel_Rarely,4,Marketing,1.0,2.0,3.0,4,3,13,2,2,0,1,1,0.98,Critical
3104,19,Male,Single,Research & Development,Sales Executive,1,76440,1,0,1.0,1.0,4,Travel_Rarely,3,Medical,4.0,1.0,4.0,3,3,15,2,2,0,1,1,0.98,Critical
1263,28,Male,Single,Research & Development,Sales Executive,1,25610,2,2,2.0,1.0,10,Travel_Rarely,1,Medical,3.0,3.0,2.0,3,4,22,1,3,2,1,1,0.98,Critical
4203,28,Male,Single,Research & Development,Sales Executive,1,25610,2,2,2.0,1.0,10,Travel_Rarely,1,Medical,3.0,3.0,2.0,3,4,22,1,3,2,1,1,0.98,Critical
1535,28,Male,Married,Research & Development,Sales Executive,1,56730,3,2,5.0,5.0,9,Travel_Rarely,4,Medical,4.0,1.0,2.0,2,3,14,1,4,2,1,1,0.98,Critical
3005,28,Male,Married,Research & Development,Sales Executive,1,56730,3,2,5.0,5.0,9,Travel_Rarely,4,Medical,4.0,1.0,2.0,2,3,14,1,4,2,1,1,0.98,Critical
4020,30,Female,Single,Sales,Sales Executive,2,49500,1,0,1.0,1.0,12,Travel_Rarely,4,Life Sciences,4.0,2.0,2.0,3,3,12,2,3,0,1,1,0.97,Critical
1960,26,Female,Single,Research & Development,Manufacturing Director,1,135250,2,2,7.0,8.0,21,Non-Travel,1,Life Sciences,1.0,2.0,3.0,2,3,17,1,4,2,1,1,0.97,Critical
1905,36,Male,Married,Research & Development,Sales Executive,3,22320,16,7,16.0,1.0,10,Travel_Rarely,3,Medical,4.0,3.0,3.0,3,3,12,1,2,3,1,1,0.97,Critical
3318,35,Female,Divorced,Sales,Laboratory Technician,1,36900,10,8,10.0,1.0,8,Travel_Frequently,2,Marketing,2.0,4.0,2.0,4,3,13,1,2,7,1,1,0.97,Critical
1184,29,Male,Married,Research & Development,Sales Representative,2,29960,2,2,4.0,9.0,9,Travel_Rarely,4,Medical,4.0,1.0,4.0,3,4,25,0,4,2,1,1,0.97,Critical
3145,26,Female,Single,Sales,Manufacturing Director,2,24260,1,0,1.0,1.0,1,Travel_Rarely,3,Marketing,4.0,3.0,1.0,1,4,22,0,3,0,1,1,0.97,Critical
378,35,Female,Divorced,Sales,Laboratory Technician,1,36900,10,8,10.0,1.0,8,Travel_Frequently,2,Marketing,2.0,4.0,2.0,4,3,13,1,2,7,1,1,0.97,Critical
3186,45,Male,Married,Research & Development,Research Director,3,34410,1,0,5.0,2.0,19,Travel_Frequently,4,Life Sciences,1.0,1.0,3.0,3,3,13,1,5,0,1,1,0.97,Critical
1068,32,Male,Single,Research & Development,Laboratory Technician,2,27410,2,2,7.0,7.0,1,Travel_Rarely,1,Medical,2.0,3.0,2.0,3,3,11,0,3,2,1,1,0.97,Critical
2425,23,Male,Divorced,Research & Development,Research Scientist,2,75250,3,2,3.0,1.0,12,Travel_Rarely,2,Medical,4.0,3.0,3.0,3,3,14,2,2,0,1,1,0.97,Critical
3657,55,Male,Single,Research & Development,Human Resources,1,46800,19,8,24.0,6.0,19,Travel_Rarely,3,Technical Degree,3.0,1.0,2.0,4,3,14,3,0,3,1,1,0.97,Critical
606,41,Male,Divorced,Research & Development,Sales Representative,2,195660,1,0,5.0,6.0,12,Non-Travel,3,Life Sciences,1.0,1.0,1.0,4,3,16,0,2,0,1,1,0.97,Critical
3593,25,Male,Single,Research & Development,Manufacturing Director,1,109320,1,0,1.0,1.0,1,Travel_Frequently,1,Life Sciences,4.0,3.0,3.0,3,3,11,1,3,1,1,1,0.97,Critical
3546,41,Male,Divorced,Research & Development,Sales Representative,2,195660,1,0,5.0,6.0,12,Non-Travel,3,Life Sciences,1.0,1.0,1.0,4,3,16,0,2,0,1,1,0.97,Critical
2550,30,Female,Single,Sales,Sales Executive,2,49500,1,0,1.0,1.0,12,Travel_Rarely,4,Life Sciences,4.0,2.0,2.0,3,3,12,2,3,0,1,1,0.97,Critical
3553,24,Male,Married,Human Resources,Manufacturing Director,3,28860,1,0,1.0,1.0,28,Travel_Rarely,4,Human Resources,2.0,4.0,1.0,3,3,19,1,5,0,1,1,0.97,Critical
2538,32,Male,Single,Research & Development,Laboratory Technician,2,27410,2,2,7.0,7.0,1,Travel_Rarely,1,Medical,2.0,3.0,2.0,3,3,11,0,3,2,1,1,0.97,Critical
3479,26,Male,Divorced,Sales,Sales Executive,2,80950,1,0,1.0,1.0,8,Travel_Rarely,2,Marketing,3.0,1.0,2.0,4,3,15,0,3,0,1,1,0.97,Critical
3718,31,Male,Married,Research & Development,Laboratory Technician,1,65000,2,2,7.0,6.0,7,Travel_Frequently,4,Life Sciences,4.0,2.0,1.0,3,4,23,1,5,2,1,1,0.97,Critical
2654,29,Male,Married,Research & Development,Sales Representative,2,29960,2,2,4.0,9.0,9,Travel_Rarely,4,Medical,4.0,1.0,4.0,3,4,25,0,4,2,1,1,0.97,Critical
185,22,Female,Single,Research & Development,Laboratory Technician,2,37850,2,2,4.0,5.0,7,Travel_Frequently,3,Medical,3.0,3.0,3.0,3,3,13,2,2,1,1,1,0.97,Critical
3480,33,Male,Single,Research & Development,Manufacturing Director,4,29040,2,2,5.0,4.0,8,Travel_Rarely,2,Life Sciences,2.0,1.0,3.0,3,3,13,0,2,2,1,1,0.97,Critical
3511,33,Male,Single,Research & Development,Sales Executive,1,49360,5,3,6.0,0.0,3,Travel_Rarely,2,Life Sciences,1.0,1.0,3.0,2,3,14,0,2,0,1,1,0.97,Critical
571,33,Male,Single,Research & Development,Sales Executive,1,49360,5,3,6.0,0.0,3,Travel_Rarely,2,Life Sciences,1.0,1.0,3.0,2,3,14,0,2,0,1,1,0.97,Critical
315,26,Male,Single,Research & Development,Laboratory Technician,2,26130,4,2,6.0,6.0,15,Travel_Rarely,2,Life Sciences,1.0,4.0,2.0,3,3,19,1,2,1,1,1,0.97,Critical
540,33,Male,Single,Research & Development,Manufacturing Director,4,29040,2,2,5.0,4.0,8,Travel_Rarely,2,Life Sciences,2.0,1.0,3.0,3,3,13,0,2,2,1,1,0.97,Critical
2041,33,Male,Single,Research & Development,Sales Executive,1,49360,5,3,6.0,0.0,3,Travel_Rarely,2,Life Sciences,1.0,1.0,3.0,2,3,14,0,2,0,1,1,0.97,Critical
539,26,Male,Divorced,Sales,Sales Executive,2,80950,1,0,1.0,1.0,8,Travel_Rarely,2,Marketing,3.0,1.0,2.0,4,3,15,0,3,0,1,1,0.97,Critical
2076,41,Male,Divorced,Research & Development,Sales Representative,2,195660,1,0,5.0,6.0,12,Non-Travel,3,Life Sciences,1.0,1.0,1.0,4,3,16,0,2,0,1,1,0.97,Critical
717,55,Male,Single,Research & Development,Human Resources,1,46800,19,8,24.0,6.0,19,Travel_Rarely,3,Technical Degree,3.0,1.0,2.0,4,3,14,3,0,3,1,1,0.97,Critical
3844,35,Male,Married,Research & Development,Healthcare Representative,3,23210,13,0,15.0,9.0,2,Travel_Rarely,3,Life Sciences,1.0,4.0,3.0,3,3,12,1,0,6,1,1,0.97,Critical
2123,25,Male,Single,Research & Development,Manufacturing Director,1,109320,1,0,1.0,1.0,1,Travel_Frequently,1,Life Sciences,4.0,3.0,3.0,3,3,11,1,3,1,1,1,0.97,Critical
2083,24,Male,Married,Human Resources,Manufacturing Director,3,28860,1,0,1.0,1.0,28,Travel_Rarely,4,Human Resources,2.0,4.0,1.0,3,3,19,1,5,0,1,1,0.97,Critical
