Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance
43,0,Travel_Frequently,Research & Development,14,3,Medical,73,Female,5,Research Director,Divorced,38860,1.0,17,2,9.0,2,9,0,0,3,3,3.0,3.0,4.0
27,0,Non-Travel,Research & Development,2,3,Life Sciences,74,Male,1,Research Director,Married,168230,0.0,17,0,6.0,3,5,1,4,3,3,3.0,2.0,3.0
54,0,Travel_Frequently,Research & Development,1,4,Life Sciences,75,Male,2,Research Scientist,Single,29330,3.0,12,2,20.0,2,4,0,3,3,3,4.0,3.0,2.0
43,0,Travel_Rarely,Research & Development,7,2,Life Sciences,76,Female,2,Manager,Married,65000,8.0,23,0,10.0,3,1,0,0,3,4,3.0,1.0,2.0
45,0,Travel_Rarely,Sales,3,1,Marketing,77,Female,1,Sales Executive,Married,171740,9.0,14,1,12.0,6,10,9,8,3,3,4.0,4.0,3.0
40,0,Travel_Rarely,Research & Development,2,4,Other,78,Male,4,Research Scientist,Married,50330,2.0,14,2,6.0,6,4,0,2,3,3,2.0,4.0,2.0
29,1,Travel_Rarely,Research & Development,29,3,Medical,79,Female,1,Research Scientist,Married,23070,1.0,13,1,7.0,0,7,0,7,3,3,2.0,1.0,2.0
29,0,Travel_Rarely,Human Resources,8,3,Medical,80,Male,3,Sales Representative,Single,25870,0.0,22,2,4.0,3,3,2,2,3,4,2.0,4.0,3.0
30,0,Travel_Rarely,Research & Development,10,3,Life Sciences,81,Male,2,Research Scientist,Divorced,55070,1.0,12,2,10.0,2,10,1,2,2,3,4.0,3.0,3.0
27,0,Travel_Rarely,Research & Development,11,2,Medical,82,Male,1,Manager,Married,43930,1.0,18,1,8.0,2,8,0,7,2,3,2.0,2.0,3.0
37,0,Travel_Rarely,Sales,1,4,Life Sciences,83,Male,2,Healthcare Representative,Divorced,133480,7.0,14,0,8.0,4,6,0,4,3,3,4.0,4.0,2.0
38,0,Travel_Rarely,Research & Development,28,4,Medical,84,Male,1,Laboratory Technician,Divorced,65830,0.0,12,0,12.0,1,11,2,9,3,3,3.0,4.0,3.0
31,0,Travel_Rarely,Research & Development,6,3,Medical,85,Female,3,Manager,Single,81030,1.0,15,1,11.0,5,11,4,10,3,3,3.0,4.0,3.0
29,0,Travel_Rarely,Research & Development,3,4,Life Sciences,86,Male,3,Sales Executive,Divorced,39780,1.0,11,0,7.0,0,7,1,7,3,3,4.0,2.0,3.0
35,0,Travel_Rarely,Sales,16,2,Technical Degree,87,Male,3,Manager,Single,25440,0.0,13,1,17.0,3,16,0,13,4,3,3.0,2.0,3.0
23,0,Travel_Rarely,Research & Development,20,4,Life Sciences,88,Male,1,Manufacturing Director,Divorced,53990,1.0,23,0,4.0,2,4,0,2,2,4,3.0,4.0,2.0
41,0,Travel_Rarely,Research & Development,9,2,Life Sciences,89,Female,1,Laboratory Technician,Single,54870,6.0,19,2,8.0,0,5,1,2,3,3,4.0,2.0,3.0
47,0,Travel_Frequently,Sales,1,3,Medical,90,Female,2,Laboratory Technician,Single,68340,3.0,16,1,5.0,2,0,0,0,4,3,2.0,3.0,3.0
42,0,Travel_Rarely,Research & Development,3,4,Life Sciences,91,Male,1,Manager,Single,10910,2.0,22,0,16.0,0,1,0,0,1,4,1.0,4.0,3.0
29,0,Non-Travel,Sales,22,4,Marketing,92,Male,2,Human Resources,Married,57360,1.0,22,0,4.0,1,4,0,2,2,4,4.0,3.0,2.0
42,0,Travel_Rarely,Sales,7,4,Medical,93,Male,3,Research Scientist,Divorced,22260,0.0,12,1,4.0,3,3,1,0,2,3,3.0,3.0,3.0
32,0,Travel_Rarely,Research & Development,2,3,Medical,94,Male,2,Research Scientist,Married,57470,1.0,13,0,8.0,0,8,0,7,3,3,3.0,2.0,3.0
48,0,Travel_Rarely,Sales,13,4,Medical,95,Male,4,Sales Executive,Married,98540,3.0,16,1,15.0,2,0,0,0,2,3,1.0,3.0,1.0
37,0,Travel_Rarely,Research & Development,8,5,Technical Degree,96,Male,2,Manufacturing Director,Divorced,54670,4.0,12,0,13.0,2,7,6,7,3,3,3.0,1.0,3.0
30,0,Non-Travel,Sales,25,4,Other,97,Male,1,Healthcare Representative,Married,53800,7.0,21,1,4.0,0,2,2,2,3,4,4.0,3.0,4.0
26,0,Travel_Rarely,Sales,28,3,Medical,98,Female,5,Laboratory Technician,Married,51510,1.0,15,3,8.0,3,8,7,7,3,3,3.0,3.0,3.0
42,0,Travel_Rarely,Sales,2,2,Medical,99,Female,1,Laboratory Technician,Single,21330,3.0,13,2,14.0,2,1,0,0,3,3,1.0,4.0,3.0
21,1,Travel_Frequently,Research & Development,9,3,Medical,100,Female,4,Manufacturing Director,Single,178750,1.0,12,0,3.0,5,3,1,2,2,3,1.0,2.0,3.0
36,0,Non-Travel,Human Resources,28,3,Human Resources,101,Male,2,Laboratory Technician,Single,24320,4.0,22,0,7.0,4,1,0,0,1,4,4.0,4.0,3.0
36,0,Travel_Frequently,Research & Development,6,3,Life Sciences,102,Female,2,Research Scientist,Married,47710,4.0,13,1,16.0,2,13,1,12,3,3,1.0,4.0,3.0
57,0,Travel_Rarely,Research & Development,21,4,Life Sciences,103,Male,5,Research Scientist,Married,191610,2.0,18,0,15.0,2,3,1,2,1,3,4.0,3.0,3.0
40,0,Travel_Rarely,Research & Development,8,3,Other,104,Male,2,Sales Executive,Married,50870,3.0,14,1,10.0,3,7,1,7,3,3,4.0,3.0,3.0
21,0,Non-Travel,Research & Development,1,5,Life Sciences,105,Female,2,Manager,Single,28630,1.0,14,0,3.0,2,3,2,2,1,3,1.0,4.0,2.0
33,1,Travel_Rarely,Human Resources,28,2,Human Resources,106,Female,5,Manager,Single,55610,1.0,21,1,1.0,3,1,0,0,1,4,4.0,3.0,3.0
37,0,Travel_Rarely,Research & Development,5,3,Life Sciences,107,Male,4,Research Scientist,Married,21440,6.0,19,0,17.0,3,5,0,3,4,3,3.0,1.0,3.0
46,0,Non-Travel,Sales,2,4,Marketing,108,Female,2,Laboratory Technician,Married,30650,2.0,11,0,7.0,3,1,0,0,3,3,3.0,3.0,4.0
41,1,Travel_Frequently,Research & Development,16,1,Medical,109,Female,1,Research Scientist,Single,28100,1.0,11,0,8.0,3,8,7,7,4,3,1.0,2.0,3.0
50,0,Travel_Rarely,Research & Development,9,3,Medical,110,Female,3,Laboratory Technician,Single,98880,6.0,15,0,20.0,2,4,1,3,3,3,4.0,4.0,3.0
40,1,Travel_Rarely,Research & Development,8,3,Medical,111,Female,1,Healthcare Representative,Married,86280,2.0,20,0,8.0,2,6,1,0,2,4,3.0,3.0,3.0
31,0,Travel_Rarely,Research & Development,1,3,Life Sciences,112,Male,4,Human Resources,Single,28670,0.0,24,0,3.0,5,2,2,2,3,4,3.0,2.0,3.0
21,1,Travel_Rarely,Human Resources,10,2,Human Resources,113,Male,1,Laboratory Technician,Single,53730,1.0,12,1,1.0,2,1,0,0,3,3,3.0,2.0,3.0
29,0,Travel_Rarely,Research & Development,1,3,Life Sciences,114,Female,2,Research Director,Single,66670,9.0,12,1,6.0,6,3,1,2,4,3,4.0,4.0,3.0
35,0,Travel_Rarely,Research & Development,29,3,Life Sciences,115,Female,3,Sales Executive,Single,50030,9.0,15,0,10.0,2,1,0,0,3,3,3.0,2.0,3.0
27,0,Travel_Rarely,Sales,2,3,Life Sciences,116,Male,1,Sales Executive,Divorced,23670,2.0,12,1,5.0,2,5,0,4,3,3,4.0,2.0,3.0
28,0,Travel_Rarely,Research & Development,2,2,Medical,117,Male,3,Manager,Single,28580,1.0,12,0,7.0,2,7,0,7,2,3,2.0,4.0,3.0
49,0,Travel_Rarely,Sales,2,3,Technical Degree,118,Male,2,Manufacturing Director,Single,52040,8.0,14,1,26.0,3,5,0,0,3,3,2.0,3.0,3.0
51,0,Travel_Rarely,Research & Development,1,2,Life Sciences,119,Male,1,Sales Executive,Married,41050,4.0,22,1,18.0,2,7,0,7,3,4,3.0,4.0,2.0
36,0,Travel_Rarely,Sales,15,2,Life Sciences,120,Male,1,Sales Executive,Married,96790,4.0,12,0,6.0,1,2,2,2,3,3,4.0,3.0,3.0
34,1,Non-Travel,Research & Development,7,3,Life Sciences,121,Male,1,Sales Representative,Single,56170,8.0,25,1,9.0,3,5,0,4,3,4,1.0,4.0,2.0
55,0,Travel_Rarely,Sales,26,3,Marketing,122,Male,1,Laboratory Technician,Single,104480,2.0,13,0,30.0,3,5,1,2,3,3,3.0,4.0,3.0
24,0,Travel_Rarely,Research & Development,1,3,Life Sciences,123,Female,5,Manager,Divorced,28970,1.0,18,3,5.0,4,5,0,3,3,3,4.0,3.0,4.0
30,0,Travel_Rarely,Research & Development,3,3,Life Sciences,124,Female,2,Manager,Married,59680,1.0,13,0,1.0,3,1,0,0,3,3,3.0,2.0,3.0
26,1,Travel_Frequently,Sales,14,3,Life Sciences,125,Male,2,Manager,Single,75100,0.0,18,3,7.0,3,6,0,4,3,3,3.0,3.0,3.0
22,0,Travel_Rarely,Research & Development,16,5,Other,126,Male,1,Research Scientist,Married,29910,1.0,19,2,2.0,3,2,1,2,2,3,1.0,2.0,3.0
36,0,Travel_Rarely,Research & Development,1,3,Medical,127,Female,5,Healthcare Representative,Married,196360,1.0,12,1,10.0,3,10,9,0,3,3,2.0,3.0,3.0
30,1,Travel_Frequently,Sales,3,2,Marketing,128,Male,3,Research Scientist,Single,11290,9.0,19,0,3.0,2,1,0,0,2,3,3.0,4.0,3.0
37,0,Travel_Rarely,Research & Development,10,1,Technical Degree,129,Male,1,Sales Executive,Divorced,133410,1.0,14,1,18.0,3,18,12,17,3,3,4.0,1.0,2.0
40,0,Travel_Rarely,Research & Development,6,2,Medical,130,Male,3,Research Scientist,Divorced,43320,7.0,14,2,8.0,3,5,1,3,2,3,4.0,2.0,3.0
42,0,Travel_Rarely,Research & Development,2,3,Medical,131,Female,4,Manager,Divorced,110310,3.0,12,1,8.0,2,5,1,2,2,3,2.0,1.0,3.0
37,0,Travel_Rarely,Sales,9,1,Marketing,132,Male,3,Sales Executive,Single,44400,2.0,11,1,18.0,3,1,0,1,2,3,3.0,2.0,2.0
43,0,Travel_Rarely,Sales,10,2,Life Sciences,133,Female,1,Sales Executive,Divorced,46170,1.0,11,0,25.0,2,25,3,9,3,3,1.0,2.0,3.0
40,0,Travel_Rarely,Sales,6,2,Life Sciences,134,Female,1,Laboratory Technician,Married,26470,6.0,13,0,20.0,2,1,0,0,2,3,2.0,3.0,3.0
54,0,Travel_Rarely,Human Resources,9,3,Life Sciences,135,Female,2,Manufacturing Director,Married,63230,4.0,23,1,24.0,2,4,1,2,2,4,1.0,1.0,2.0
34,0,Non-Travel,Research & Development,28,3,Medical,136,Male,1,Laboratory Technician,Married,56770,9.0,20,1,6.0,3,3,1,2,3,4,3.0,3.0,3.0
31,0,Travel_Rarely,Research & Development,10,4,Life Sciences,137,Male,3,Sales Executive,Married,21870,1.0,15,1,13.0,2,13,3,12,2,3,2.0,1.0,1.0
43,0,Travel_Frequently,Sales,14,3,Life Sciences,138,Female,1,Manufacturing Director,Married,37480,7.0,14,2,10.0,3,3,1,2,2,3,4.0,4.0,3.0
43,0,Travel_Rarely,Sales,27,4,Life Sciences,139,Male,2,Sales Representative,Divorced,39770,4.0,18,1,8.0,3,5,0,2,3,3,3.0,3.0,3.0
25,0,Travel_Rarely,Human Resources,7,2,Human Resources,140,Male,1,Manufacturing Director,Single,86330,1.0,19,1,5.0,2,5,1,3,4,3,2.0,4.0,3.0
37,0,Non-Travel,Research & Development,1,3,Medical,141,Male,3,Laboratory Technician,Married,20080,3.0,22,0,15.0,5,13,10,7,2,4,2.0,3.0,3.0
31,0,Travel_Rarely,Research & Development,24,1,Medical,142,Male,3,Laboratory Technician,Married,44400,1.0,13,1,4.0,2,4,3,2,3,3,4.0,1.0,3.0
39,0,Travel_Frequently,Research & Development,26,4,Technical Degree,143,Female,1,Sales Executive,Divorced,30670,1.0,20,1,21.0,5,21,1,6,1,4,2.0,3.0,3.0
56,0,Travel_Frequently,Research & Development,20,4,Life Sciences,144,Female,3,Sales Executive,Married,53210,9.0,14,0,36.0,1,7,7,7,3,3,3.0,1.0,2.0
30,0,Travel_Rarely,Sales,5,4,Medical,145,Female,2,Manufacturing Director,Single,54100,0.0,17,1,6.0,2,5,4,4,3,3,2.0,3.0,3.0
41,0,Travel_Rarely,Research & Development,7,3,Technical Degree,146,Female,3,Research Scientist,Married,27820,1.0,14,0,10.0,2,10,0,7,2,3,2.0,1.0,3.0
28,0,Travel_Rarely,Research & Development,7,3,Medical,147,Male,3,Healthcare Representative,Divorced,119570,1.0,13,0,10.0,2,10,1,8,2,3,3.0,1.0,3.0
25,1,Travel_Rarely,Research & Development,5,2,Life Sciences,148,Female,3,Laboratory Technician,Married,26600,5.0,13,0,6.0,3,2,0,2,3,3,1.0,1.0,3.0
52,0,Travel_Rarely,Research & Development,26,2,Life Sciences,149,Female,2,Sales Representative,Married,33750,2.0,21,0,28.0,2,5,0,4,2,4,4.0,3.0,3.0
45,0,Travel_Rarely,Research & Development,2,3,Medical,150,Female,1,Sales Executive,Married,50980,3.0,14,1,8.0,4,2,0,2,3,3,1.0,4.0,2.0
52,0,Travel_Rarely,Research & Development,12,3,Medical,151,Male,2,Research Scientist,Married,48780,2.0,11,1,31.0,3,5,1,4,3,3,4.0,4.0,1.0
42,0,Travel_Frequently,Sales,10,3,Marketing,152,Female,2,Healthcare Representative,Divorced,28370,2.0,13,1,19.0,0,5,0,2,2,3,1.0,3.0,3.0
30,0,Travel_Rarely,Sales,25,3,Marketing,153,Male,1,Sales Executive,Single,24060,2.0,20,1,11.0,5,5,0,2,3,4,3.0,4.0,3.0
60,0,Travel_Rarely,Research & Development,10,3,Life Sciences,154,Female,1,Manufacturing Director,Married,22690,5.0,18,1,33.0,4,29,11,10,3,3,1.0,1.0,1.0
46,0,Travel_Rarely,Sales,19,4,Marketing,155,Female,1,Sales Executive,Divorced,41080,2.0,14,0,19.0,5,10,0,8,2,3,3.0,3.0,2.0
42,0,Travel_Frequently,Research & Development,18,4,Technical Degree,156,Male,4,Sales Executive,Married,132060,0.0,13,2,7.0,2,6,0,4,3,3,4.0,4.0,4.0
24,1,Travel_Rarely,Research & Development,27,2,Medical,157,Male,1,Research Scientist,Single,104220,1.0,17,1,6.0,0,5,1,4,2,3,1.0,2.0,3.0
34,1,Travel_Frequently,Research & Development,5,3,Medical,158,Male,2,Research Scientist,Divorced,137440,0.0,20,1,3.0,3,2,1,0,3,4,4.0,3.0,2.0
38,0,Travel_Frequently,Sales,3,3,Marketing,159,Female,2,Sales Executive,Married,49070,1.0,11,1,1.0,3,1,0,0,3,3,4.0,4.0,3.0
40,0,Travel_Rarely,Sales,26,4,Marketing,160,Female,1,Sales Executive,Married,34820,0.0,18,1,21.0,2,20,1,12,2,3,3.0,3.0,3.0
